,,2011 and Later PHEVs - data in EPA's Verify data base - plus driving range & utility factor information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,(Not Confidential),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total ,,,,New fields added by D. Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model Type Information,,,,,,,,,Charge Sustaining Information  (Gasoline Operation),,,,,,,,,,,,,,,,,,,,,,,,,,,Vehicle Information,,,,,,,,Ann Fuel Cost,,Charge Depleting Information (Electricity Operation),,,,,,,,,,,,,,,,,,,General Information,,,,,,,,, ,"General Hybrid Vehicle Information - Engine, Motor/Generator, Battery Information, etc.                                                                                                                                                                                                                                                                                                                               General Hybrid Vehicle Information - Engine, Motor/Generator, Battery Information, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FE & GHG Ratings,,,#1 Smog Rating Test Group,,,,#2 Smog Rating Test Group,,,,#3 Smog Rating Test Group,,,,#4 Smog Rating Test Group,,,,You Save/You Spend,,Gasoline Adjusted CO2,,,PHEV,Battery Charge Time,,Range,PHEV Composite  MPGe,,,Composite CO2,,,Charge Depleting Driving Range,,,Individual Utility Factors (Rcda MDIUFs),,,PHEV Charge Depleting Fuel Consumption,,,Fuel Tank,,,,,,,,,,,,,,,,,,,,,
,Model Yr ,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),Eng Displ,# Cyl,Trans as listed in FE Guide (derived from col AA thru AF),City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler? ,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,"Trans, Other",# Gears,Trans Lockup,Trans Creeper Gear,Drive Sys,Drive Desc,Max Ethanol % - Gasoline,Max Biodiesel %,Range1 - Model Type Driving Range - Conventional Fuel,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,Gas Guzzler Exempt (Where Truck = 1975 NHTSA truck definition),Gas Guzzler Exempt Desc (Where Truck = 1975 NHTSA truck definition),2Dr Pass Vol,2Dr Lugg Vol,4Dr Pass Vol,4Dr Lugg Vol,Htchbk Pass Vol,Htchbk Lugg Vol,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,City2 FE (Guide) - Alternative Fuel,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,City2 Unadj FE - Alternative Fuel,Hwy2 Unadj FE - Alternative Fuel,Comb2 Unadj FE - Alternative Fuel,City2 Unrd Adj FE - Alternative Fuel,Hwy2 Unrd Adj FE - Alternative Fuel,Cmb2 Unrd Adj FE - Alternative Fuel, Range2 - Alt Fuel Model Typ Driving Range - Alternative Fuel, Fuel2 Usage - Alternative Fuel, Fuel2 Usage Desc - Alternative Fuel,Fuel2 Unit - Alternative Fuel,Fuel2 Unit Desc - Alternative Fuel,Fuel2 Annual Fuel Cost - Alternative Fuel,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted,Fuel2 EPA Calculated Annual Fuel Cost - Alternative Fuel,Descriptor - Model Type (40 Char or less),Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date (gold fill means release date is after 8/2/2012),EPA FE Label Dataset ID, ,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Energy Storage Device Desc,"Energy Storage Device,If Other",# Batteries,Battery Type Desc,"Battery Type, If Other",Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Comments,# Capacitors,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,Fuel Cell Desc,Usable H2 Fill Capacity (kg),Fuel Cell Onboard H2 Capacity (kg),HEV-EV Comments,# Drive Motor Gen,Motor Gen Type Desc,"Motor Gen Type, If Other",Rated Motor Gen Power (kW),Fuel Metering Type 1 Desc,Fuel Metering Type 2 Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System) Code,Stop/Start System (Engine Management System)  Description,Model Type Desc (MFR entered),Charge Depleting Calc Appr Code (PHEVs only),Charge Depleting Calc Appr Desc  (PHEVs only),Charge Sustaining Calc Appr Code  (PHEVs only),Charge Sustaining Calc Appr Desc  (PHEVs only),EPA Calculated Annual Fuel Cost,EPA Calculated Gas Guzzler MPG,MFR Calculated Gas Guzzler MPG ,EPA Calculated Gas Guzzler Indicator (Y or N), ,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),GHG 1-10 rating on Ethanol (EPA Determined),#1 Smog Rating Test Group,#1 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 1),#1 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 1),SmartWay1 (EPA-derived SmartWay rating for Test Group 1),#2 Smog Rating Test Group,#2 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 2),#2 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 2),SmartWay2 (EPA-derived SmartWay rating for Test Group 2),#3 Smog Rating Test Group,#3 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 3),#3 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 3),SmartWay3 (EPA-derived SmartWay rating for Test Group 3),#4 Smog Rating Test Group,#4 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 4),#4 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 4),SmartWay4 (EPA-derived SmartWay rating for Test Group 4),$ You Save over 5 years (amount saved in fuel costs over 5 years - on label) ,$ You Spend over 5 years (increased amount spent in fuel costs over 5 years - on label) ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted (as shown on FE Label),CO2-PHEV Composite Rounded Adjusted Combined CO2,240V Charge Time at 240 volts (hours),120V Charge time at 120 Volts (hours),PHEV Total Driving Range (rounded to nearest 10 miles)DISTANCE,City PHEV Composite MPGe,Hwy PHEV Composite MPGe,Comb PHEV Composite MPGe,City CO2-PHEV Composite Rounded Adjusted Combined CO2,Hwy CO2-PHEV Composite Rounded Adjusted Combined CO2,CO2-PHEV Composite Rounded Adjusted Combined CO2,City Range on Electricity (miles),Hwy Range on Electricity (miles),Comb Range on Electricity as shown on FE Label (miles),City Utility Factor (MDIUF),Hwy Utility Factor (MDIUF),Comb Utility Factor (MDIUF),City (gal/100 mi),Hwy (gal/100 mi),Combined (gal/100 mi) as listed on blended PHEV labels,Size (gal),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Audi A3 e-tron (PHEV),,,,,,,,,,,,,,,,,2017 Audi A3 e-tron (PHEV),,,,,,,,,,,,,,,,2017 Audi A3 e-tron (PHEV),,,,,,,,,,,,,,,2017 Audi A3 e-tron (PHEV),,,,,,,,,,,,,,,,2017 Audi A3 e-tron (PHEV),,,,,,,,,,,,,,,,2017 Audi A3 e-tron (PHEV),,,,,,,,,,,,,,,,,2017 Audi A3 e-tron (PHEV),,,,,,,,,,,,,,,,,2017 Audi A3 e-tron (PHEV),,,,,,,,,,,,,, ,2017 Audi A3 e-tron (PHEV),,,,,,,,,,,,,,,2017 Audi A3 e-tron (PHEV),,,,,,,,,,,,2017 Audi A3 e-tron (PHEV),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Volkswagen Group of,Audi,A3 e-tron,VGA,86,1.4,4,Auto(AM-S6),33,36,34,43.6,52,47,32.6,35.6,33.9,,TC,Turbocharged,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),,6,Y,N,F,"2-Wheel Drive, Front",15,,360,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,89,14,1050,1050,42,39,41,29.3,27.7,28.6,41.6741,39.0657,40.5004,16,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,1050,,,,1050,SIDI; PHEV; ,2,2,4,Compact Cars,car,Plug-in Hybrid Label,9/23/16,21017,,Y,N,,,N,N,Engine Code CXUA,N,,Y,Electro/Hydraulic,N,,Battery(s),,1,Lithium Ion,,350,8800.00,70.4,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,,1,"DC Permanent Magnet, brushless",,80,,,GDI,Spark Ignition Direct Injection,N,Y,N,5W40 VW 50200,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,47.0,,,10,10,,HVGAV01.4V3B,8,,,,,,,,,,,,,,,1750,,0,0,0,158,2.50,,380,42,46,44,164,150,158,16.29,15.91,16,0.396,0.389,0.393,0,0,0,10.6,,,,,,,,,,,,,,,,,,,,,
, ,"(Blended PHEV; tested in the EV (default) mode (not hold, auto, charge or sport mode)",,,,,,,,33,36,34,43.6,52,47,32.6,35.6,33.9,,TC,Turbocharged,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),,6,Y,N,F,"2-Wheel Drive, Front",15,,360,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,,,89,14,1050,1050,81,86,83,114.9618,123.0027,118.4462,80.6617,86.1019,83.0222,16,EL,Electricity,MPG,miles per gallon,1050,,,,1050,SIDI; PHEV; ,2,2,4,Compact Cars,car,Plug-in Hybrid Label,9/23/16,21017,,Y,N,,,N,N,Engine Code CXUA,N,,Y,Electro/Hydraulic,N,,Battery(s),,1,Lithium Ion,,350,8800.00,70.4,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,,1,"DC Permanent Magnet, brushless",,80,,,GDI,Spark Ignition Direct Injection,N,Y,N,5W40 VW 50200,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,47.0,,,10,10,10,HVGAV01.4V3B,8,,,,,,,,,,,,,,,1750,,270,242,257,158,2.50,,380,42,46,44,164,150,158,All Electric Range = 0-16 miles (combined),,,0.396,0.389,0.393,,,,10.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,, ,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,BMW,BMW,330e,BMX,330,2.0,4,Auto(S8),28,34,30,36.3462,49.9849,41.4336,27.7708,34.3774,30.3998,,TC,Turbocharged,SA,Semi-Automatic,,8,Y,N,R,"2-Wheel Drive, Rear",10,,332,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,96,9,,,1200,1200,51,43,47,36,36.7,36.311,50.729,43.0225,47.261,14,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,1200,,,,1200,SIDI; PHEV; ,2,2,4,Compact Cars,car,Plug-in Hybrid Label,8/1/16,20851,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,351,26,92,On-Board,,,Electrical Regen Brake,,Both,N,,,,,1,"DC Permanent Magnet, brushless",,83,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,41.4,,,9,10,,HBMXV02.0H48,6,,,,,,,,,,,,,,,1000,,0,0,0,189,2,,350,34,43,38,210.1,162.2,189,13.06,15.11,14,0.344,0.376,0.359,0,0,0,10.8,,,,,,,,,,,,,,,,,,,,,
,,(Blended PHEV; tested in the AUTO eDrive (default) mode---not MAX eDRIVE mode or Save  Battery mode),,,,,,,,28,34,30,36.3462,49.9849,41.4336,27.7708,34.3774,30.3998,,TC,Turbocharged,SA,Semi-Automatic,,8,Y,N,R,"2-Wheel Drive, Rear",10,,332,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,96,9,,,1200,1200,66,78,71,93.7,111,100.937,66.0249,77.9981,70.9242,14,EL,Electricity,MPG,miles per gallon,1200,,,,1200,SIDI; PHEV; ,2,2,4,Compact Cars,car,Plug-in Hybrid Label,8/1/16,20851,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,351,26,92,On-Board,,,Electrical Regen Brake,,Both,N,,,,,1,"DC Permanent Magnet, brushless",,83,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,41.4,,,9,10,10,HBMXV02.0H48,6,,,,,,,,,,,,,,,1000,,318,257,290,189,2,,350,34,43,38,210.1,162.2,189,All Electric Range = 0-14 miles (combined),,,0.344,0.376,0.359,,,,10.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,, ,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,BMW,BMW,740e xDrive,BMX,740,2.0,4,Auto(S8),25,29,27,32.1,42.1,35.9418,24.8563,29.4644,26.7381,,TC,Turbocharged,SA,Semi-Automatic,,8,Y,N,A,All Wheel Drive,10,,326,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,114,10,,,1350,1350,53,50,52,38.5,45.4,41.574,53.2116,49.622,51.5963,14,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,1350,,,,1350,SIDI; PHEV; ,2,2,6,Large Cars,car,Plug-in Hybrid Label,8/1/16,20775,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,351,26,92,On-Board,,,Electrical Regen Brake,,Both,N,,,,,1,"DC Permanent Magnet, brushless",,83,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,36.2,,,8,9,,HBMXV02.0H48,6,,,,,,,,,,,,,,,250,,0,0,0,214,3,,340,31,37,33,233.3,191.5,214,13.45,14.73,14,0.356,0.369,0.362,0,0,0,12.1,,,,,,,,,,,,,,,,,,,,,
,,(Blended PHEV; tested in the AUTO eDrive (default) mode---not MAX eDRIVE mode or Save  Battery mode),,,,,,,,25,29,27,32.1,42.1,35.9418,24.8563,29.4644,26.7381,,TC,Turbocharged,SA,Semi-Automatic,,8,Y,N,A,All Wheel Drive,10,,326,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,114,10,,,1350,1350,62,68,64,87.6,97,91.456,62.0758,67.613,64.451,14,EL,Electricity,MPG,miles per gallon,1350,,,,1350,SIDI; PHEV; ,2,2,6,Large Cars,car,Plug-in Hybrid Label,8/1/16,20775,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,351,26,92,On-Board,,,Electrical Regen Brake,,Both,N,,,,,1,"DC Permanent Magnet, brushless",,83,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,36.2,,,8,9,,HBMXV02.0H48,6,,,,,,,,,,,,,,,250,,356,300,331,214,3,,340,31,37,33,233.3,191.5,214,All Electric Range = 0-14 miles (combined),,,0.356,0.369,0.362,,,,12.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,, ,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,BMW,BMW,I3 REX  (94 Amp-hour battery),BMX,103,0.6,2,Auto(A1),36,33,35,49.2,48.4,48.8368,36.1399,33.4036,34.8551,,NA,Naturally Aspirated,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",10,,80,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,84,15,,,650,650,29,32,30,20,22.7,21.209,28.6247,32.456,30.3488,97,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,650,,,,650,PHEV; 94 Amp-hour battery,2,2,3,Subcompact Cars,car,Plug-in Hybrid Label,9/1/16,20890,,,N,,,N,N,,N,,N,,N,,Battery(s),,8,Lithium Ion,,398,94,109.4,On-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,AC Induction,,125,,,MFI,,N,Y,N,5W30,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,48.8,,,10,10,,HBMXV00.6I3R,8,,,,,,,,,,,,,,,3750,,0,0,0,29,5,,180,95,81,88,26,33,29,103.03,90.55,97,0.896,0.877,0.888,0,0,0,2.3,,,,,,,,,,,,,,,,,,,,,
